District Name,City,County Name
Mastery Cs-Clymer Elementary,Philadelphia,Philadelphia
Mastery Cs-Gratz Campus,Philadelphia,Philadelphia
Mastery Cs-Harrity Campus,Philadelphia,Philadelphia
Mastery Cs-Mann Campus,Philadelphia,Philadelphia
Mastery Cs-Pickett Campus,Philadelphia,Philadelphia
Mastery Cs-Shoemaker Campus,Philadelphia,Philadelphia
Mastery Cs-Smedley Campus,Philadelphia,Philadelphia
Mastery Cs-Thomas Campus,Philadelphia,Philadelphia
Math Civics And Sciences Cs,Philadelphia,Philadelphia
Mcguffey School District,Claysville,Washington
Mckeesport Area School District,Mc Keesport,Allegheny
Mckeesport Area Technical Ctr,Mckeesport,Allegheny
Mechanicsburg Area School District,Mechanicsburg,Cumberland
Medical Academy Cs,Catasauqua,Lehigh
Memphis Street Academy Cs @ Jp Jones,Philadelphia,Philadelphia
Mercer Area School District,Mercer,Mercer
Mercer County Career Center,Mercer,Mercer
Methacton School District,Eagleville,Montgomery
Meyerschool Districtale Area School District,Meyerschool Districtale,Somerset
Mid Valley School District,Throop,Lackawanna
Midd-West School District,Middleburg,Snyder
Middle Bucks Institute Of Technology School District,Jamison,Bucks
Middletown Area School District,Middletown,Dauphin
Midland Borough School District,Midland,Beaver
Mifflin County School District,Lewistown,Mifflin
Mifflin-Juniata Career And Technical Center,Lewistown,Mifflin
Mifflinburg Area School District,Mifflinburg,Union
Millcreek Township School District,Erie,Erie
Millersburg Area School District,Millersburg,Dauphin
Millville Area School District,Millville,Columbia
Milton Area School District,Milton,Northumberland
Minersville Area School District,Minersville,Schuylkill
Mohawk Area School District,Bessemer,Lawrence
Mon Valley Career And Technical Center,Charleroi,Washington
Monessen City School District,Monessen,Westmoreland
Moniteau School District,West Sunbury,Butler
Monroe Career & Technical Institute,Bartonsville,Monroe
Montessori Regional Cs,Erie,Erie
Montgomery Area School District,Montgomery,Lycoming
Montour School District,Mc Kees Rocks,Allegheny
Montoursville Area School District,Montoursville,Lycoming
Montrose Area School District,Montrose,Susquehanna
Moon Area School District,Moon Township,Allegheny
Morrisville Borough School District,Morrisville,Bucks
Moshannon Valley School District,Houtzdale,Clearfield
Mount Carmel Area School District,Mount Carmel,Northumberland
Mount Pleasant Area School District,Mount Pleasant,Westmoreland
Mount Union Area School District,Mount Union,Huntingdon
Mountain View School District,Kingsley,Susquehanna
Mt Lebanon School District,Pittsburgh,Allegheny
Muhlenberg School District,Laureldale,Berks
